descripcion;precio;precioVenta;fechaCompra;stock
Cartulina 1/8 paquete x 7 (3);200;500;2022-12-12;21 
Lupa 90 mm grande 120/200;5400;7000;2022-12-12;2 
Talonario rifa periódico;650;1300;2022-12-12;6 
Minifactura periódico;450;1000;2022-12-12;6 
Sobre manila tamaño oficio;150;300;2022-12-12;100 
Carpeta presentación carta;300;700;2022-12-12;50 
Carpeta bisel carta poli humo;750;1300;2022-12-12;6 
Fomi carta paquete x 10 (2);350;600;2022-12-12;20 
Fomi carta x 10 escarchado (2);700;1000;2022-12-12;20 
Block carta hojas blancas x 70 (3);32;200;2022-12-12;21 
Block carta hojas cuadros x 70 (1);35;200;2022-12-12;70 
Block carta hojas rayadas x 70 (3);32;200;2022-12-12;21 
Block de hojas;2500;4000;2022-12-12;7 
Cartón paja 1/8 paquete x 12;400;700;2022-12-12;12 
Cinta transparente 48x40;3400;5000;2022-12-12;6 
Cinta transparente 48x20;1200;3000;2022-12-12;6 
Tijera oficina grande ¾;3200;4200;2022-12-12;6 
Tijera negrita pequeña;1000;1800;2022-12-12;6 
Sacapunta metálico;260;600;2022-12-12;24 
Borrador nata 624;121;500;2022-12-12;24 
Borrador PZ – 20;500;800;2022-12-12;20 
Bolígrafo kilométrico;458;1200;2022-12-12;12 
Bolígrafo Bic cristal;416;1000;2022-12-12;12 
Marcador rojo y azul permanente 420;1100;2000;2022-12-12;6 
Lápiz negro Wingo HB2;300;700;2022-12-12;24 
Serpentina irisada;1600;2300;2022-12-12;6 
Globos R-9 paquete x 50 (6);104;200;2022-12-12;300 
Chinches tritón;850;1400;2022-12-12;6 
Silicona barra delgada;470;800;2022-12-12;12 
Silicona barra gruesa;1150;1400;2022-12-12;6 
Papel periódico 70 x 100;300;500;2022-12-12;36 
Cartulina pliego 70 x 100;1200;1500;2022-12-12;12 
Papel seda x 500;125;300;2022-12-12;12 
Cartulina 50 x 70 pliego negra;700;1000;2022-12-12;6 
Rollo de precio;1300;1600;2022-12-12;6 
Chongas de regalo grandes;2000;3500;2022-12-12;6 
Portarretrato plástico 5x7;8000;12000;2022-12-12;1 
Portarretrato plástico 4x6;6000;10000;2022-12-12;1 
Portarretrato de metal;10000;14000;2022-12-12;1 
Limas grandes;;500;2022-12-12;12 
Limas medianas;;400;2022-12-12;8 
Limas pequeñas;;200;2022-12-12;16 
Peinillas grandes;;1000;2022-12-12;2 
Peinillas con mango;;1000;2022-12-12;2 
Peinillas medianas;;800;2022-12-12;2 
Peinillas pequeñas;;700;2022-12-12;2 
Cara de santa para árbol;10000;15000;2022-12-12;3 
Adorno de campana;5000;8000;2022-12-12;3 
Corona navideña con chonga;8000;12000;2022-12-12;3 
Decoración colgante doble campana;10000;14000;2022-12-12;3 
Mini pistola de silicona;12000;15000;2022-12-12;3 
Reloj despertador;12000;15000;2022-12-12;2 
Bolas navideñas;10000;15000;2022-12-12;4 
Elásticos surtidos;500;800;2022-12-12;10 
Elásticos de colores en bolsa;1;200;2022-12-12;44 
Colas elásticas gruesas Glow;200;400;2022-12-12;40 
Lanzador de agua con depósito;6000;10000;2022-12-12;3 
Protectores diarios Nosotras;100;200;2022-12-12;100 
Caramelo Bianchi;100;200;2022-12-12;40 
Esmaltes Vizio;2700;3700;2022-12-12;6 
Curita Later;300;400;2022-12-12;20 
Set de uñas;4000;6000;2022-12-12;6 
Diademas;3000;4500;2022-12-12;2 
Diademas;2500;4000;2022-12-12;2 
Diademas;3500;5000;2022-12-12;2 
Juegos Bisutería Acero;3500;5000;2022-12-12;6 
Grapadora Mini;4000;6000;2022-12-12;3 
Grapa Metal 48 barritas;146;300;2022-12-12;48 
Grapa Metal;3500;5500;2022-12-12;2 
Frunas;400;500;2022-12-12;32 
Jet Burbujas;550;800;2022-12-12;24 
Chocolatina Jet;500;700;2022-12-12;24 
Chocolatina Jumbo;650;1000;2022-12-12;24 
Galletas Wafer;400;500;2022-12-12;36 
Galletas Festival;570;700;2022-12-12;16 
Maní Kracks;850;1200;2022-12-12;12 
Ducales tentación;700;800;2022-12-12;32 
Mini chips;935;1100;2022-12-12;16 
Gol mini;450;600;2022-12-12;24 
Tosh cremadas;1000;1100;2022-12-12;24 
Galletas saltín Noel;550;700;2022-12-12;27 
Galletas Dux;550;700;2022-12-12;27 
Chocolatinas Jet Wafer;800;1000;2022-12-12;20 
